,Unnamed: 0,review,rating,date,bank,source,distilbert_sentiment,distilbert_label,distilbert_score,vader_sentiment,textblob_sentiment,distilbert_numerical
276,276,nice app 👌,5,2025-04-12,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9996724128723145}",POSITIVE,0.9996724128723145,positive,positive,1
277,277,why did this app is not screenshot,5,2025-04-12,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9989493489265442}",NEGATIVE,0.9989493489265442,neutral,neutral,-1
278,278,it so good app,5,2025-04-12,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999868631362915}",POSITIVE,0.999868631362915,positive,positive,1
279,279,the best app,3,2025-04-12,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998469352722168}",POSITIVE,0.9998469352722168,positive,positive,1
280,280,جميل,5,2025-04-11,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9271727204322815}",POSITIVE,0.9271727204322815,neutral,neutral,1
281,281,"less network, specially to make fee for utility purpose",1,2025-04-11,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.994688868522644}",NEGATIVE,0.994688868522644,neutral,positive,-1
282,282,nice,5,2025-04-11,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998552799224854}",POSITIVE,0.9998552799224854,positive,positive,1
283,283,simply for used,4,2025-04-11,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9918004870414734}",NEGATIVE,0.9918004870414734,neutral,neutral,-1
284,284,wow keep up,5,2025-04-10,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998539686203003}",POSITIVE,0.9998539686203003,positive,positive,1
285,285,its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9934490323066711}",NEGATIVE,0.9934490323066711,positive,positive,-1
286,286,good one,5,2025-04-10,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998288154602051}",POSITIVE,0.9998288154602051,positive,positive,1
287,287,best app.,5,2025-04-10,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999774158000946}",POSITIVE,0.999774158000946,positive,positive,1
288,288,everything is easy thank you cebe,5,2025-04-10,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998396635055542}",POSITIVE,0.9998396635055542,positive,positive,1
289,289,ፈጣን ቀልጣፋ,5,2025-04-10,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.7850590348243713}",NEGATIVE,0.7850590348243713,neutral,neutral,-1
290,290,good,5,2025-04-10,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
291,291,ok,5,2025-04-10,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997851252555847}",POSITIVE,0.9997851252555847,positive,positive,1
292,292,ጎበዝ,5,2025-04-09,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.6970565915107727}",NEGATIVE,0.6970565915107727,neutral,neutral,-1
293,293,good app,5,2025-04-09,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998493194580078}",POSITIVE,0.9998493194580078,positive,positive,1
294,294,but this app says can't sync,5,2025-04-09,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9988365769386292}",NEGATIVE,0.9988365769386292,neutral,neutral,-1
295,295,waw,5,2025-04-09,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.7346178889274597}",NEGATIVE,0.7346178889274597,neutral,neutral,-1
296,296,to slow,3,2025-04-09,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9994872808456421}",NEGATIVE,0.9994872808456421,neutral,negative,-1
297,297,work on screen shot system,4,2025-04-08,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.5902671217918396}",NEGATIVE,0.5902671217918396,neutral,neutral,-1
298,298,very very nice aplication,1,2025-04-08,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998292922973633}",POSITIVE,0.9998292922973633,positive,positive,1
299,299,Good,5,2025-04-08,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
300,300,wonder full and it is easy to use,5,2025-04-08,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9996142387390137}",POSITIVE,0.9996142387390137,positive,positive,1
301,301,easy and reliable,2,2025-04-08,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998584985733032}",POSITIVE,0.9998584985733032,positive,positive,1
302,302,good,5,2025-04-08,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
303,303,it is Very Useful app 👍,5,2025-04-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.994536280632019}",POSITIVE,0.994536280632019,positive,positive,1
304,304,very good,5,2025-04-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998520612716675}",POSITIVE,0.9998520612716675,positive,positive,1
305,305,perfect app,5,2025-04-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998340606689453}",POSITIVE,0.9998340606689453,positive,positive,1
306,306,I like it.,5,2025-04-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998694658279419}",POSITIVE,0.9998694658279419,positive,neutral,1
307,307,bugs,3,2025-04-07,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9988303780555725}",NEGATIVE,0.9988303780555725,neutral,neutral,-1
308,308,commerial Bank,5,2025-04-06,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.6810258030891418}",NEGATIVE,0.6810258030891418,neutral,neutral,-1
309,309,Genat biru,2,2025-04-06,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.966159999370575}",NEGATIVE,0.966159999370575,neutral,neutral,-1
310,310,🙏,5,2025-04-06,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.6970565915107727}",NEGATIVE,0.6970565915107727,neutral,neutral,-1
311,311,it is good but it doesn't allow screen shot,4,2025-04-06,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.6723125576972961}",POSITIVE,0.6723125576972961,neutral,positive,1
312,312,the best one,5,2025-04-06,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998371601104736}",POSITIVE,0.9998371601104736,positive,positive,1
313,313,You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9967620372772217}",NEGATIVE,0.9967620372772217,positive,positive,-1
314,314,bring back the screenshot feature.,1,2025-04-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9942916631698608}",POSITIVE,0.9942916631698608,neutral,neutral,1
315,315,Good!👍,3,2025-04-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998579025268555}",POSITIVE,0.9998579025268555,positive,neutral,1
316,316,best app to experience him that to smooth transaction among the customers,1,2025-04-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9985142350196838}",POSITIVE,0.9985142350196838,positive,positive,1
317,317,good,5,2025-04-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
318,318,nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9551454782485962}",NEGATIVE,0.9551454782485962,positive,positive,-1
319,319,easy to use,5,2025-04-05,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9988542795181274}",POSITIVE,0.9988542795181274,positive,positive,1
320,320,"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998189806938171}",POSITIVE,0.9998189806938171,positive,positive,1
321,321,ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.881923258304596}",NEGATIVE,0.881923258304596,neutral,neutral,-1
322,322,before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9973511695861816}",NEGATIVE,0.9973511695861816,positive,positive,-1
323,323,cool ❤,4,2025-04-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997991919517517}",POSITIVE,0.9997991919517517,positive,positive,1
324,324,Best app,5,2025-04-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999686598777771}",POSITIVE,0.999686598777771,positive,positive,1
325,325,great app,5,2025-04-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999821126461029}",POSITIVE,0.999821126461029,positive,positive,1
326,326,best banking App,4,2025-04-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999736487865448}",POSITIVE,0.999736487865448,positive,positive,1
327,327,satisfied,5,2025-04-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997212290763855}",POSITIVE,0.9997212290763855,positive,positive,1
328,328,this app is very necessary app many people found it,5,2025-04-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9980692267417908}",POSITIVE,0.9980692267417908,neutral,positive,1
329,329,cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.989459753036499}",POSITIVE,0.989459753036499,positive,positive,1
330,330,It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997400641441345}",POSITIVE,0.9997400641441345,positive,positive,1
331,331,excellent,5,2025-04-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998434782028198}",POSITIVE,0.9998434782028198,positive,positive,1
332,332,perfect,5,2025-04-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998517036437988}",POSITIVE,0.9998517036437988,positive,positive,1
333,333,thankyou,5,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998428821563721}",POSITIVE,0.9998428821563721,neutral,neutral,1
334,334,I Like it,5,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998593330383301}",POSITIVE,0.9998593330383301,positive,neutral,1
335,335,ok,5,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997851252555847}",POSITIVE,0.9997851252555847,positive,positive,1
336,336,"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9986600875854492}",NEGATIVE,0.9986600875854492,positive,positive,-1
337,337,smart app,5,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999789297580719}",POSITIVE,0.999789297580719,positive,positive,1
338,338,isin ga'a,2,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.7607281804084778}",POSITIVE,0.7607281804084778,neutral,neutral,1
339,339,easy to use,5,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9988542795181274}",POSITIVE,0.9988542795181274,positive,positive,1
340,340,it's great,5,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998691082000732}",POSITIVE,0.9998691082000732,positive,positive,1
341,341,very good app and stars faction with work,5,2025-04-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998588562011719}",POSITIVE,0.9998588562011719,positive,positive,1
342,342,It is excelent,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998881816864014}",POSITIVE,0.9998881816864014,neutral,neutral,1
343,343,Smart,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998456239700317}",POSITIVE,0.9998456239700317,positive,positive,1
344,344,በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9570208191871643}",NEGATIVE,0.9570208191871643,neutral,neutral,-1
345,345,very interesting app,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997968077659607}",POSITIVE,0.9997968077659607,positive,positive,1
346,346,i like it,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998593330383301}",POSITIVE,0.9998593330383301,positive,neutral,1
347,347,wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9985969662666321}",POSITIVE,0.9985969662666321,neutral,neutral,1
348,348,ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9510265588760376}",NEGATIVE,0.9510265588760376,neutral,neutral,-1
349,349,Excellent🙏app,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.6970565915107727}",NEGATIVE,0.6970565915107727,positive,neutral,-1
350,350,the most useful,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997223019599915}",POSITIVE,0.9997223019599915,positive,positive,1
351,351,I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9787841439247131}",POSITIVE,0.9787841439247131,positive,positive,1
352,352,Easy to use,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9988542795181274}",POSITIVE,0.9988542795181274,positive,positive,1
353,353,"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9585953950881958}",NEGATIVE,0.9585953950881958,neutral,positive,-1
354,354,Excellent !!!,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998651742935181}",POSITIVE,0.9998651742935181,positive,positive,1
355,355,always we relay on,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9971832633018494}",POSITIVE,0.9971832633018494,neutral,neutral,1
356,356,I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997507929801941}",POSITIVE,0.9997507929801941,positive,positive,1
357,357,it's need more improvement like Tellbirr.,4,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.999363124370575}",NEGATIVE,0.999363124370575,positive,positive,-1
358,358,goode app,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997406601905823}",POSITIVE,0.9997406601905823,neutral,neutral,1
359,359,a very nice app.👍👍👍,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998323917388916}",POSITIVE,0.9998323917388916,positive,positive,1
360,360,safe easy & fast,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997115731239319}",POSITIVE,0.9997115731239319,positive,positive,1
361,361,perfect,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998517036437988}",POSITIVE,0.9998517036437988,positive,positive,1
362,362,it's good app,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998689889907837}",POSITIVE,0.9998689889907837,positive,positive,1
363,363,nice,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998552799224854}",POSITIVE,0.9998552799224854,positive,positive,1
364,364,good app,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998493194580078}",POSITIVE,0.9998493194580078,positive,positive,1
365,365,It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9958590865135193}",NEGATIVE,0.9958590865135193,negative,negative,-1
366,366,ጥሩ ነው,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.7850590348243713}",NEGATIVE,0.7850590348243713,neutral,neutral,-1
367,367,እጅግ በጣም ጥሩ አፕ,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.8616330027580261}",NEGATIVE,0.8616330027580261,neutral,neutral,-1
368,368,good,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
369,369,በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9528433680534363}",NEGATIVE,0.9528433680534363,neutral,neutral,-1
370,370,suitable app,4,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997665286064148}",POSITIVE,0.9997665286064148,neutral,positive,1
371,371,Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9995038509368896}",NEGATIVE,0.9995038509368896,positive,neutral,-1
372,372,Good,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
373,373,nice app,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998061060905457}",POSITIVE,0.9998061060905457,positive,positive,1
374,374,best transaction method of financial,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9995972514152527}",POSITIVE,0.9995972514152527,positive,positive,1
375,375,#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9995881915092468}",POSITIVE,0.9995881915092468,positive,positive,1
376,376,It literarily don't work at all,4,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9995075464248657}",NEGATIVE,0.9995075464248657,neutral,positive,-1
377,377,good give us plus,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998716115951538}",POSITIVE,0.9998716115951538,positive,positive,1
378,378,"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9895473718643188}",POSITIVE,0.9895473718643188,positive,positive,1
379,379,before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9852171540260315}",NEGATIVE,0.9852171540260315,neutral,positive,-1
380,380,Tnc Cbe,5,2025-04-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9070308804512024}",POSITIVE,0.9070308804512024,neutral,neutral,1
381,381,it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9151973128318787}",NEGATIVE,0.9151973128318787,positive,positive,-1
382,382,great apps,5,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998534917831421}",POSITIVE,0.9998534917831421,positive,positive,1
383,383,Excellent,5,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998434782028198}",POSITIVE,0.9998434782028198,positive,positive,1
384,384,Great app!,4,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998462200164795}",POSITIVE,0.9998462200164795,positive,positive,1
385,385,nice,5,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998552799224854}",POSITIVE,0.9998552799224854,positive,positive,1
386,386,CBE,5,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9966009855270386}",POSITIVE,0.9966009855270386,neutral,neutral,1
387,387,very good 👍 👏,5,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998593330383301}",POSITIVE,0.9998593330383301,positive,positive,1
388,388,great when it works,5,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998693466186523}",POSITIVE,0.9998693466186523,positive,positive,1
389,389,"the app is very good, but why screenshots is impossible?",5,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.981265127658844}",NEGATIVE,0.981265127658844,positive,positive,-1
390,390,excellent match application,5,2025-03-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998453855514526}",POSITIVE,0.9998453855514526,positive,positive,1
